p53 	 NDMm 	 NDMst 	 PTEN 	 time 
415	2	1	100	36.2881
416	2	1	100	36.3532
417	2	1	100	36.3679
418	2	1	100	36.9833
419	2	1	100	37.1247
420	2	1	100	37.2476
421	2	1	100	37.3527
422	2	1	100	37.3709
423	2	1	100	37.5303
424	2	1	100	37.6269
425	2	1	100	37.641999999999996
426	2	1	100	37.784699999999994
427	2	1	100	37.8139
428	2	1	100	37.8319
429	2	1	100	37.929399999999994
430	2	1	100	37.95459999999999
431	2	1	100	38.02239999999999
432	2	1	100	38.110899999999994
433	2	1	100	38.427699999999994
434	2	1	100	38.66139999999999
435	2	1	100	38.89339999999999
436	2	1	100	39.09689999999999
437	2	1	100	39.10459999999999
438	2	1	100	39.25929999999999
439	2	1	100	39.438999999999986
440	2	1	100	39.517299999999985
441	2	1	100	39.71289999999998
442	2	1	100	39.801599999999986
443	2	1	100	39.824899999999985
444	2	1	100	39.99769999999999
445	2	1	100	40.10159999999999
446	2	1	100	40.11059999999999
447	2	1	100	40.24599999999999
448	2	1	100	40.382699999999986
449	2	1	100	40.567799999999984
450	2	1	100	40.62939999999998
451	2	1	100	40.723199999999984
452	2	1	100	40.898699999999984
453	2	1	100	40.929099999999984
454	2	1	100	40.96389999999998
455	2	1	100	40.98099999999998
456	2	1	100	41.05069999999998
457	2	1	100	41.25709999999998
458	2	1	100	41.28549999999998
459	2	1	100	41.668099999999974
460	2	1	100	41.68519999999997
460	2	0	100	41.804699999999976
461	2	0	100	41.88719999999998
462	2	0	100	41.99459999999998
463	2	0	100	42.07129999999998
464	2	0	100	42.08999999999998
465	2	0	100	42.14609999999998
466	2	0	100	42.201799999999984
467	2	0	100	42.22659999999998
468	2	0	100	42.25369999999998
469	2	0	100	42.33539999999998
470	2	0	100	42.344099999999976
471	2	0	100	42.410599999999974
472	2	0	100	42.50829999999998
473	2	0	100	42.68789999999998
474	2	0	100	42.699199999999976
475	2	0	100	42.873999999999974
476	2	0	100	42.960099999999976
477	2	0	100	43.140099999999975
478	2	0	100	43.140499999999975
479	2	0	100	43.16569999999997
479	1	0	100	43.70039999999997
480	1	0	100	43.749899999999975
481	1	0	100	43.80559999999998
482	1	0	100	43.969899999999974
